"Estacion","Fecha","Temp_max","Temp_min","Cantidad_ml"
"10,131","25/05/2010 ",NA,2,NA
"10,131","26/05/2010 ",NA,5,0.2
"10,131","27/05/2010 ",NA,6,0
"10,131","28/05/2010 ",NA,8,0.5
"10,131","29/05/2010 ",NA,9,NA
"10,131","30/05/2010 ",NA,4,NA
"10,131","31/05/2010 ",NA,5,NA
"10,131","01/06/2010 ",NA,4,NA
"10,131","02/06/2010 ",NA,2,NA
"10,131","03/06/2010 ",NA,4,NA
"10,131","04/06/2010 ",NA,1,NA
"10,131","05/06/2010 ",NA,2,NA
"10,131","06/06/2010 ",NA,2,NA
"10,131","07/06/2010 ",NA,4,NA
"10,131","08/06/2010 ",NA,3,NA
"10,131","09/06/2010 ",NA,8,0
"10,131","10/06/2010 ",NA,8,NA
"10,131","11/06/2010 ",NA,6,NA
"10,131","12/06/2010 ",NA,1,NA
"10,131","13/06/2010 ",NA,1,NA
"10,131","14/06/2010 ",NA,3,NA
"10,131","15/06/2010 ",NA,2,NA
"10,131","16/06/2010 ",NA,1,NA
"10,131","17/06/2010 ",NA,8,NA
"10,131","18/06/2010 ",NA,3,NA
"10,131","19/06/2010 ",NA,-3,NA
"10,131","20/06/2010 ",NA,-2,NA
"10,131","21/06/2010 ",NA,0,NA
"10,131","22/06/2010 ",NA,2,NA
"10,131","23/06/2010 ",NA,2,NA
"10,131","24/06/2010 ",NA,5,NA
"10,131","25/06/2010 ",NA,2,NA
"10,131","26/06/2010 ",NA,2,NA
"10,131","27/06/2010 ",NA,0,NA
"10,131","28/06/2010 ",NA,-2,NA
"10,131","29/06/2010 ",NA,-1,NA
"10,131","30/06/2010 ",NA,3,NA
"10,131","01/07/2010 ",NA,2,NA
"10,131","02/07/2010 ",NA,3,NA
"10,131","03/07/2010 ",NA,3,NA
"10,131","04/07/2010 ",NA,3,NA
"10,131","05/07/2010 ",NA,7,NA
"10,131","06/07/2010 ",NA,2,NA
"10,131","07/07/2010 ",NA,2,NA
"10,131","08/07/2010 ",NA,0,NA
"10,131","09/07/2010 ",NA,5,NA
"10,131","10/07/2010 ",NA,1,NA
"10,131","11/07/2010 ",NA,2,NA
"10,131","12/07/2010 ",NA,-2,NA
"10,131","13/07/2010 ",NA,-5,NA
"10,131","14/07/2010 ",NA,-1,5
"10,131","15/07/2010 ",NA,-1,1
"10,131","16/07/2010 ",NA,-1,NA
"10,131","17/07/2010 ",NA,-4,NA
"10,131","18/07/2010 ",NA,-3,NA
"10,131","19/07/2010 ",NA,-4,NA
"10,131","20/07/2010 ",NA,-3,NA
"10,131","21/07/2010 ",NA,0,NA
"10,131","22/07/2010 ",NA,-2,NA
"10,131","23/07/2010 ",NA,-2,NA
"10,131","24/07/2010 ",NA,-1,0
"10,131","25/07/2010 ",NA,0,NA
"10,131","26/07/2010 ",NA,3,NA
"10,131","27/07/2010 ",NA,0,NA
"10,131","28/07/2010 ",NA,1,NA
"10,131","29/07/2010 ",NA,0,NA
"10,131","30/07/2010 ",NA,5,NA
"10,131","31/07/2010 ",NA,4,NA
"10,131","01/08/2010 ",NA,2,NA
"10,131","02/08/2010 ",NA,-2,1
"10,131","03/08/2010 ",NA,2,0
"10,131","04/08/2010 ",NA,0,0
"10,131","05/08/2010 ",NA,0,NA
"10,131","06/08/2010 ",NA,-4,NA
"10,131","07/08/2010 ",NA,0,NA
"10,131","08/08/2010 ",NA,4,NA
"10,131","09/08/2010 ",NA,2,NA
"10,131","10/08/2010 ",NA,1,NA
"10,131","11/08/2010 ",NA,5,NA
"10,131","12/08/2010 ",NA,9,0.2
"10,131","13/08/2010 ",NA,2,1.4
"10,131","14/08/2010 ",NA,2,NA
"10,131","15/08/2010 ",NA,-3,NA
"10,131","16/08/2010 ",NA,0,NA
"10,131","17/08/2010 ",NA,2,NA
"10,131","18/08/2010 ",NA,6,NA
"10,131","19/08/2010 ",NA,11,NA
"10,131","20/08/2010 ",NA,6,NA
"10,131","21/08/2010 ",NA,7,NA
"10,131","22/08/2010 ",NA,7,NA
"10,131","23/08/2010 ",NA,12,NA
"10,131","24/08/2010 ",NA,4,NA
"10,131","25/08/2010 ",NA,6,NA
"10,131","26/08/2010 ",NA,6,NA
"10,131","27/08/2010 ",NA,12,NA
"10,131","28/08/2010 ",NA,8,NA
"10,131","29/08/2010 ",NA,0,NA
"10,131","30/08/2010 ",NA,3,NA
"10,131","31/08/2010 ",NA,10,NA
"10,131","01/09/2010 ",NA,5,6.7
"10,131","02/09/2010 ",NA,2,1
"10,131","03/09/2010 ",NA,2,NA
"10,131","04/09/2010 ",NA,2,NA
"10,131","05/09/2010 ",NA,8,NA
"10,131","06/09/2010 ",NA,6,NA
"10,131","07/09/2010 ",NA,8,NA
"10,131","08/09/2010 ",NA,8,NA
"10,131","09/09/2010 ",NA,12,NA
"10,131","10/09/2010 ",NA,12,NA
"10,131","11/09/2010 ",NA,10,NA
"10,131","12/09/2010 ",NA,7,NA
"10,131","13/09/2010 ",NA,10,NA
"10,131","14/09/2010 ",NA,5,NA
"10,131","15/09/2010 ",NA,11,NA
"10,131","16/09/2010 ",NA,9,NA
"10,131","17/09/2010 ",NA,10,NA
"10,131","18/09/2010 ",NA,8,NA
"10,131","19/09/2010 ",NA,15,NA
"10,131","20/09/2010 ",NA,10,NA
"10,131","21/09/2010 ",NA,10,NA
"10,131","22/09/2010 ",NA,12,NA
"10,131","23/09/2010 ",NA,9,NA
"10,131","24/09/2010 ",NA,9,NA
"10,131","25/09/2010 ",NA,10,NA
"10,131","26/09/2010 ",NA,14,NA
"10,131","27/09/2010 ",NA,14,2.2
"10,131","28/09/2010 ",NA,8,0.4
"10,131","29/09/2010 ",NA,8,NA
"10,131","30/09/2010 ",NA,11,2.2
"10,131","01/10/2010 ",NA,6,NA
"10,131","02/10/2010 ",NA,3,NA
"10,131","03/10/2010 ",NA,8,NA
"10,131","04/10/2010 ",NA,7,NA
"10,131","05/10/2010 ",NA,10,NA
"10,131","06/10/2010 ",NA,16,NA
"10,131","07/10/2010 ",NA,10,NA
"10,131","08/10/2010 ",NA,10,NA
"10,131","09/10/2010 ",NA,13,NA
"10,131","10/10/2010 ",NA,14,NA
"10,131","11/10/2010 ",NA,14,NA
"10,131","12/10/2010 ",NA,15,0
"10,131","13/10/2010 ",NA,17,7.5
"10,131","14/10/2010 ",NA,14,NA
"10,131","15/10/2010 ",NA,13,NA
"10,131","16/10/2010 ",NA,10,NA
"10,131","17/10/2010 ",NA,9,NA
"10,131","18/10/2010 ",NA,11,NA
"10,131","19/10/2010 ",NA,13,NA
"10,131","20/10/2010 ",NA,15,NA
"10,131","21/10/2010 ",NA,19,8.6
"10,131","22/10/2010 ",NA,11,NA
"10,131","23/10/2010 ",NA,12,NA
"10,131","24/10/2010 ",NA,13,NA
"10,131","25/10/2010 ",NA,11,NA
"10,131","26/10/2010 ",NA,14,NA
"10,131","27/10/2010 ",NA,15,NA
"10,131","28/10/2010 ",NA,10,NA
"10,131","29/10/2010 ",NA,9,NA
"10,131","30/10/2010 ",NA,6,NA
"10,131","31/10/2010 ",NA,11,NA
"10,131","01/11/2010 ",NA,12,NA
"10,131","02/11/2010 ",NA,14,NA
"10,131","03/11/2010 ",NA,18,NA
"10,131","04/11/2010 ",NA,18,NA
"10,131","05/11/2010 ",NA,14,NA
"10,131","06/11/2010 ",NA,12,NA
"10,131","07/11/2010 ",NA,17,NA
"10,131","08/11/2010 ",NA,8,NA
"10,131","09/11/2010 ",NA,4,NA
"10,131","10/11/2010 ",NA,9,NA
"10,131","11/11/2010 ",NA,13,NA
"10,131","12/11/2010 ",NA,13,NA
"10,131","13/11/2010 ",NA,16,NA
"10,131","14/11/2010 ",NA,18,NA
"10,131","15/11/2010 ",NA,16,NA
"10,131","16/11/2010 ",NA,16,NA
"10,131","17/11/2010 ",NA,13,NA
"10,131","18/11/2010 ",NA,18,NA
"10,131","19/11/2010 ",29,15,NA
"10,131","20/11/2010 ",29,18,NA
"10,131","21/11/2010 ",32,15,8.4
"10,131","22/11/2010 ",28,13,NA
"10,131","23/11/2010 ",32,13,NA
"10,131","24/11/2010 ",34,18,NA
"10,131","25/11/2010 ",31,19,NA
"10,131","26/11/2010 ",33,19,NA
"10,131","27/11/2010 ",30,20,NA
"10,131","28/11/2010 ",25,18,NA
"10,131","29/11/2010 ",31,14,NA
"10,131","30/11/2010 ",29,17,NA
"10,131","01/12/2010 ",34,17,NA
"10,131","02/12/2010 ",30,17,NA
"10,131","03/12/2010 ",26,16,NA
"10,131","04/12/2010 ",31,17,0
"10,131","05/12/2010 ",33,20,NA
"10,131","06/12/2010 ",34,18,6
"10,131","07/12/2010 ",32,15,NA
"10,131","08/12/2010 ",28,18,NA
"10,131","09/12/2010 ",36,13,NA
"10,131","10/12/2010 ",36,18,NA
"10,131","11/12/2010 ",31,17,NA
"10,131","12/12/2010 ",23,7,NA
"10,131","13/12/2010 ",30,8,NA
"10,131","14/12/2010 ",37,15,NA
"10,131","15/12/2010 ",35,19,NA
"10,131","16/12/2010 ",36,19,NA
"10,131","17/12/2010 ",32,24,2
"10,131","18/12/2010 ",28,18,NA
"10,131","19/12/2010 ",32,16,NA
"10,131","20/12/2010 ",33,21,NA
"10,131","21/12/2010 ",37,18,NA
"10,131","22/12/2010 ",39,20,NA
"10,131","23/12/2010 ",33,24,NA
"10,131","24/12/2010 ",35,18,NA
"10,131","25/12/2010 ",34,21,NA
"10,131","26/12/2010 ",38,21,NA
"10,131","27/12/2010 ",36,26,0
"10,131","28/12/2010 ",33,19,13
"10,131","29/12/2010 ",27,18,NA
"10,131","30/12/2010 ",29,17,31
"10,131","31/12/2010 ",29,15,25
"10,131","01/01/2011 ",30,16,12.8
"10,131","02/01/2011 ",28,18,NA
"10,131","03/01/2011 ",31,18,13.6
"10,131","04/01/2011 ",28,16,2.6
"10,131","05/01/2011 ",28,13,NA
"10,131","06/01/2011 ",27,18,0.9
"10,131","07/01/2011 ",32,17,NA
"10,131","08/01/2011 ",31,19,6
"10,131","09/01/2011 ",27,15,1
"10,131","10/01/2011 ",29,13,NA
"10,131","11/01/2011 ",34,17,NA
"10,131","12/01/2011 ",37,19,0
"10,131","13/01/2011 ",37,20,NA
"10,131","14/01/2011 ",32,21,NA
"10,131","15/01/2011 ",37,19,NA
"10,131","16/01/2011 ",34,24,NA
"10,131","17/01/2011 ",29,15,NA
"10,131","18/01/2011 ",34,17,NA
"10,131","19/01/2011 ",33,20,NA
"10,131","20/01/2011 ",32,22,NA
"10,131","21/01/2011 ",32,18,NA
"10,131","22/01/2011 ",36,18,NA
